model Qwen/Qwen3.8-27B renderer=qwen3_8_disable_thinking  tasks 400
37456    ok
40757    ok
39190    ok
40959    ok
41265    ok
40892    ok
41348    ok
41589    ok
41978    ok
42181    ok
41420    ok
42354    ok
42515    ok
42930    ok
43589    ok
43436    ok
44266    ok
44628    ok
45063    ok
45372    ok
32789    ok
45944    ok
46121    ok
46897    ok
48527    ok
49857    ok
49945    ok
44296    ok
42216    ok
50250    ok
50486    ok
50521    ok
50051    ok
50683    ok
50811    ok
51249    ok
50971    ok
51354    ok
51556    ok
51680    ok
50631    ok
52220    ok
52050    ok
52233    ok
52532    ok
52541    ok
52964    ok
9569     error: Expecting ',' delimiter: line 1 column 14979 (char 14978)
53383    ok
53117    ok
53449    ok
53647    ok
54085    ok
52305    ok
54274    ok
54474    ok
54513    ok
45738    ok
54717    ok
54667    ok
54638    ok
55060    ok
54925    ok
55049    ok
55085    ok
53994    ok
55965    ok
37462    ok
55979    ok
55817    ok
56225    ok
56274    ok
56599    ok
56921    ok
56920    ok
53161    ok
56419    ok
57033    ok
57113    ok
56378    ok
57445    ok
57590    ok
58147    ok
58701    ok
57743    ok
59196    ok
58484    ok
58949    ok
59595    ok
58723    ok
43213    ok
42902    ok
55427    ok
43657    ok
45937    ok
44913    ok
55260    ok
46646    ok
55468    ok
47827    ok
57232    ok
55976    ok
55708    ok
55421    ok
45707    ok
56563    ok
55977    ok
57117    ok
57262    ok
56915    ok
57558    ok
57354    ok
56953    ok
57612    ok
57693    ok
58109    ok
58499    ok
58032    ok
58904    ok
58942    ok
57989    ok
59160    ok
59129    ok
59358    ok
58687    ok
59224    ok
59511    ok
59734    ok
59639    ok
59794    ok
59902    ok
59884    ok
56786    ok
56427    ok
44017    error: Expecting ',' delimiter: line 310 column 36 (char 14063)
